rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.89,0.2,93.67
2,3,Barcelona,Spanish Primera Division,3.17,0.46,91.68
3,2,Bayern Munich,German Bundesliga,3.2,0.51,91.19
4,4,Liverpool,Barclays Premier League,2.64,0.41,88.56
5,6,Real Madrid,Spanish Primera Division,2.45,0.4,87.05
6,5,Atletico Madrid,Spanish Primera Division,2.18,0.28,86.63
7,7,Chelsea,Barclays Premier League,2.44,0.46,85.78
8,8,Paris Saint-Germain,French Ligue 1,2.65,0.58,85.62
9,11,Borussia Dortmund,German Bundesliga,2.58,0.57,85.19
10,10,Manchester United,Barclays Premier League,2.52,0.54,85.11
11,9,RB Leipzig,German Bundesliga,2.37,0.51,84.09
12,12,Juventus,Italy Serie A,2.56,0.62,83.98
13,13,Atalanta,Italy Serie A,2.53,0.61,83.87
14,16,Internazionale,Italy Serie A,2.54,0.7,82.17
15,20,Sevilla FC,Spanish Primera Division,2.14,0.47,81.96
16,22,Villarreal,Spanish Primera Division,2.16,0.49,81.78
17,14,Real Sociedad,Spanish Primera Division,2.13,0.49,81.56
18,17,Tottenham Hotspur,Barclays Premier League,2.28,0.58,81.54
19,15,Bayer Leverkusen,German Bundesliga,2.23,0.55,81.43
20,21,Ajax,Dutch Eredivisie,2.72,0.89,80.68
21,18,Napoli,Italy Serie A,2.24,0.6,80.49
22,19,Arsenal,Barclays Premier League,2.12,0.54,80.16
23,23,Leicester City,Barclays Premier League,2.13,0.59,79.09
24,26,Aston Villa,Barclays Premier League,2.19,0.66,78.55
25,25,Lyon,French Ligue 1,2.19,0.67,78.42
26,24,AS Roma,Italy Serie A,2.3,0.75,78.19
27,27,FC Salzburg,Austrian T-Mobile Bundesliga,2.88,1.13,78.11
28,28,AC Milan,Italy Serie A,2.26,0.76,77.28
29,29,Borussia Monchengladbach,German Bundesliga,2.34,0.82,77.06
30,30,FC Porto,Portuguese Liga,2.19,0.76,76.3
31,31,West Ham United,Barclays Premier League,2,0.67,75.54
32,33,VfL Wolfsburg,German Bundesliga,2.08,0.73,75.19
33,35,Everton,Barclays Premier League,1.98,0.69,74.78
34,34,Southampton,Barclays Premier League,1.88,0.62,74.73
35,36,Lille,French Ligue 1,1.81,0.57,74.6
36,37,Zenit St Petersburg,Russian Premier Liga,2.15,0.82,74.32
37,39,Eintracht Frankfurt,German Bundesliga,2.18,0.85,74.14
38,38,Wolverhampton,Barclays Premier League,1.83,0.61,73.94
39,41,Benfica,Portuguese Liga,2.17,0.88,73.35
40,42,Getafe,Spanish Primera Division,1.66,0.53,73.13
41,32,Celta Vigo,Spanish Primera Division,1.97,0.76,72.82
42,44,AS Monaco,French Ligue 1,2.11,0.86,72.82
43,40,Brighton and Hove Albion,Barclays Premier League,1.93,0.73,72.8
44,49,Lazio,Italy Serie A,2.1,0.89,71.82
45,45,Shakhtar Donetsk,UEFA Europa League,2.23,1,71.75
46,51,Real Betis,Spanish Primera Division,1.96,0.8,71.7
47,46,Athletic Bilbao,Spanish Primera Division,1.75,0.65,71.65
48,47,Olympiacos,Greek Super League,1.91,0.78,71.43
49,55,VfB Stuttgart,German Bundesliga,2.1,0.92,71.14
50,56,SC Freiburg,German Bundesliga,2.05,0.91,70.57
51,50,Club Brugge,Belgian Jupiler League,1.9,0.81,70.34
52,48,1. FC Union Berlin,German Bundesliga,1.88,0.8,70.32
53,54,Eibar,Spanish Primera Division,1.67,0.65,70.01
54,52,Flamengo,Brasileiro Série A,2.09,0.97,69.99
55,43,TSG Hoffenheim,German Bundesliga,2.15,1.02,69.91
56,53,Rangers,Scottish Premiership,1.94,0.87,69.7
57,58,Leeds United,Barclays Premier League,2.1,1.06,68.19
58,66,Sporting CP,Portuguese Liga,1.71,0.76,68.06
59,57,Hertha Berlin,German Bundesliga,1.87,0.89,67.99
60,60,Marseille,French Ligue 1,1.7,0.76,67.96
61,61,Stade Rennes,French Ligue 1,1.66,0.74,67.74
62,62,Young Boys,Swiss Raiffeisen Super League,2.01,1.02,67.57
63,59,Levante,Spanish Primera Division,1.92,0.95,67.42
64,64,Fiorentina,Italy Serie A,1.74,0.81,67.41
65,72,Crystal Palace,Barclays Premier League,1.74,0.82,67.05
